specObjID,plateid,mjd,fiberid,ra,dec,z,sn_median,lgm_tot_p50
1.05E+18,932,52620,392,126.4462,32.55173,0.09155945,9.062526,9.615195
2.80E+18,2483,53852,636,164.2489,16.64208,0.08390141,20.80877,10.47007
1.51E+18,1339,52767,302,247.5703,34.62946,0.0323582,9.463662,9.524656
2.90E+18,2572,54056,182,127.0105,9.067957,0.1163271,10.30714,10.4722
3.77E+17,335,52000,563,190.5663,-2.066618,0.1122997,9.066993,10.57868
2.17E+18,1931,53358,488,131.7659,25.0046,0.1748112,9.02267,10.62995
1.58E+18,1404,52825,554,239.8763,32.77497,0.09714187,7.08776,10.0862
2.52E+18,2235,53847,579,188.5659,28.17635,0.08418953,9.24435,10.59877
3.32E+18,2948,54553,605,249.9698,28.81948,0.08740342,29.92024,10.56052
7.17E+17,637,52174,165,315.4826,-7.195006,0.109366,10.87122,10.46487
2.34E+18,2080,53350,50,118.5592,15.04733,0.06057078,9.13039,9.719244
1.51E+18,1342,52793,25,253.1655,29.78418,0.05429325,10.69541,9.731623
8.36E+17,742,52263,533,345.4003,15.07379,0.02436758,10.95892,9.216074
1.56E+18,1387,53118,349,229.7975,33.04007,0.1155408,8.361881,10.60268
3.81E+17,338,51694,57,195.2387,-3.264057,0.1130017,6.686149,10.42544
2.38E+18,2115,53535,379,206.7282,26.1221,0.06084514,6.886136,10.26283
1.65E+18,1466,53083,543,209.4549,45.50255,0.1715668,15.00908,11.03543
2.74E+18,2435,53828,563,136.8014,18.115,0.0541054,35.20918,10.68186
2.82E+18,2508,53875,611,176.7617,17.82245,0.04776555,10.58712,9.026346
8.52E+17,757,52238,366,119.1315,36.11375,0.1547368,7.102402,10.78695
2.36E+18,2094,53851,311,204.1353,30.23382,0.1178734,11.03763,10.66663
1.82E+18,1619,53084,628,175.0014,7.470207,0.07972629,12.03541,10.13925
1.50E+18,1328,52786,194,222.0743,51.00517,0.136495,20.45149,10.09255
2.11E+18,1874,54452,511,129.0963,60.66885,0.08428761,13.65126,10.22889
1.96E+18,1740,53050,58,140.7076,10.18983,0.1296234,12.41916,10.42388
1.56E+18,1384,53121,209,224.7102,34.09762,0.07929192,12.17788,9.988157
2.65E+18,2357,53793,145,164.8325,25.3556,0.1446945,12.33855,10.70747
1.54E+18,1364,53061,65,169.1903,43.06514,0.1348524,4.990247,10.54136
1.92E+18,1702,53144,443,208.513,12.62315,0.1007863,10.81059,10.06556
2.81E+18,2496,54178,583,171.5273,22.19884,0.06146974,7.041803,10.33422
1.86E+18,1650,53174,332,229.0953,31.13144,0.09086207,8.17897,9.901279
1.44E+18,1281,52753,62,198.8096,48.72796,0.09571642,10.55859,10.40078
1.93E+18,1718,53850,55,228.2502,11.03572,0.1116959,10.271,10.31141
2.29E+18,2034,53466,64,167.8578,34.52493,0.1107647,7.965858,9.826597
1.08E+18,958,52410,18,199.387,58.2787,0.07038465,9.163009,9.295327
2.98E+18,2643,54208,384,179.7893,22.90839,0.06218999,9.976339,10.07519
1.79E+18,1588,52965,561,132.5228,29.18527,0.08474042,24.74164,10.54519
2.10E+18,1864,53313,617,112.2638,41.70068,0.1206011,10.70372,10.83082
2.84E+18,2520,54584,216,237.09,10.84433,0.1657897,13.4015,10.42641
7.02E+17,623,52051,625,244.3166,52.57487,0.1030307,7.40538,10.33989
3.13E+18,2784,54529,423,210.0924,23.94238,0.06246162,21.01043,9.784364
5.95E+17,528,52022,317,203.0016,2.130372,0.1123232,13.02214,10.4044
2.19E+18,1941,53386,165,142.2305,31.03294,0.1279411,16.09197,10.93291
8.40E+17,746,52238,272,351.2147,14.5612,0.04563775,8.329597,9.652097
1.55E+18,1380,53084,486,214.5795,38.92949,0.04319151,18.99062,8.647542
8.33E+17,740,52263,308,340.6342,13.57548,0.06362419,8.828116,9.735245
1.81E+18,1609,53142,321,176.8802,13.60162,0.1167859,12.81854,9.923904
3.68E+17,327,52294,404,173.188,-1.384579,0.1345381,7.509101,10.18776
8.48E+17,753,52233,602,6.995405,15.84937,0.1136217,12.26968,10.55015
2.02E+18,1790,53876,400,190.7059,7.940443,0.08119472,5.868324,10.01281
2.72E+18,2419,54139,627,122.2659,9.56622,0.1080606,10.4729,10.15283
2.48E+18,2202,53566,159,246.2512,14.13019,0.06560329,12.57362,10.08274
2.94E+18,2614,54481,405,191.5014,20.89504,0.132713,9.717324,10.35911
2.51E+18,2228,53818,34,183.5491,29.74537,0.06294706,8.106155,9.541036
2.90E+18,2573,54061,441,130.9328,11.17608,0.06739799,11.03257,9.601451
2.83E+18,2515,54180,443,178.6669,21.16971,0.06695006,22.20064,10.5463
2.39E+18,2122,54178,609,212.1608,29.97323,0.06579643,17.17327,10.07738
3.08E+17,273,51957,637,159.0935,0.07746911,0.02922927,9.133969,9.549507
1.12E+18,997,52734,575,154.8311,7.178872,0.1121397,12.02125,10.64467
1.91E+18,1692,53473,467,253.6321,26.71222,0.05447682,9.705339,9.663371
1.53E+18,1363,53053,124,166.6355,42.90366,0.0578456,8.480639,10.20395
2.07E+18,1840,53472,185,215.4397,33.2686,0.1052878,9.258385,10.31702
2.08E+18,1843,53816,362,222.8188,31.73488,0.104481,9.921451,9.910122
2.11E+18,1874,54452,584,130.1857,60.91102,0.0844023,11.19387,10.08038
1.19E+18,1054,52516,563,239.3658,40.94725,0.1692808,9.286409,10.59186
3.76E+17,334,51993,377,186.519,-1.832156,0.07723234,14.3724,10.42372
2.11E+18,1871,53384,457,121.9289,56.07757,0.08713955,6.194812,9.781724
2.29E+18,2032,53815,531,198.6292,38.53397,0.05183117,13.6902,8.607717
5.95E+17,528,52022,327,203.2424,3.532522,0.02249775,25.59025,9.280986
1.82E+18,1618,53116,540,172.2833,7.886704,0.0788391,17.46367,9.990267
